"","term","gene","human","mouse"
"21130","Fetal_Vallone_2016","Rhod","RHOD","Rhod"
"21131","Fetal_Vallone_2016","Ripply3","RIPPLY3","Ripply3"
"21132","Fetal_Vallone_2016","Rnf208","RNF208","Rnf208"
"21133","Fetal_Vallone_2016","Rnf39","RNF39","Rnf39"
"21134","Fetal_Vallone_2016","Runx2","RUNX2","Runx2"
"21135","Fetal_Vallone_2016","S100a14","S100A14","S100a14"
"21136","Fetal_Vallone_2016","Scel","SCEL","Scel"
"21137","Fetal_Vallone_2016",NA,"SDPR",NA
"21138","Fetal_Vallone_2016","Sema3c","SEMA3C","Sema3c"
"21139","Fetal_Vallone_2016","Serpinb5","SERPINB5","Serpinb5"
"21140","Fetal_Vallone_2016","Serpinb6b","SERPINB6B","Serpinb6b"
"21141","Fetal_Vallone_2016","Sftpd","SFTPD","Sftpd"
"21142","Fetal_Vallone_2016","Sh3pxd2a","SH3PXD2A","Sh3pxd2a"
"21143","Fetal_Vallone_2016","Six4","SIX4","Six4"
"21144","Fetal_Vallone_2016","Slc12a4","SLC12A4","Slc12a4"
"21145","Fetal_Vallone_2016","Sox21","SOX21","Sox21"
"21146","Fetal_Vallone_2016","Sptssb","SPTSSB","Sptssb"
"21147","Fetal_Vallone_2016","Sult4a1","SULT4A1","Sult4a1"
"21148","Fetal_Vallone_2016","Syde1","SYDE1","Syde1"
"21149","Fetal_Vallone_2016","Syt16","SYT16","Syt16"
"21150","Fetal_Vallone_2016","Tacstd2","TACSTD2","Tacstd2"
"21151","Fetal_Vallone_2016",NA,"TDRD5",NA
"21152","Fetal_Vallone_2016","Tead4","TEAD4","Tead4"
"21153","Fetal_Vallone_2016","Timp2","TIMP2","Timp2"
"21154","Fetal_Vallone_2016","Tnfsf9","TNFSF9","Tnfsf9"
"21155","Fetal_Vallone_2016",NA,"TNN",NA
"21156","Fetal_Vallone_2016","Tnni2","TNNI2","Tnni2"
"21157","Fetal_Vallone_2016","Tpm2","TPM2","Tpm2"
"21158","Fetal_Vallone_2016","Trim6","TRIM6","Trim6"
"21159","Fetal_Vallone_2016","Tspan4","TSPAN4","Tspan4"
"21160","Fetal_Vallone_2016","Ttc9","TTC9","Ttc9"
"21161","Fetal_Vallone_2016","Tubb6","TUBB6","Tubb6"
"21162","Fetal_Vallone_2016","Vgll3","VGLL3","Vgll3"
"21163","Fetal_Vallone_2016","Vtcn1","VTCN1","Vtcn1"
"21164","Fetal_Vallone_2016","Wtip","WTIP","Wtip"
"21165","Fetal_Vallone_2016","Wwc2","WWC2","Wwc2"
"21166","Fetal_Vallone_2016","Wwtr1","WWTR1","Wwtr1"
"21167","Fetal_Vallone_2016","Zfp185","ZFP185","Zfp185"
"21168","Fetal_Vallone_2016","Zfp365","ZFP365","Zfp365"
"21169","Fetal_Vallone_2016","Zfp57","ZFP57","Zfp57"
"21170","HALLMARK_INTERFERON_GAMMA_RESPONSE","Adar","ADAR","Adar"
"21171","HALLMARK_INTERFERON_GAMMA_RESPONSE","Apol6","APOL6","Apol6"
"21172","HALLMARK_INTERFERON_GAMMA_RESPONSE","Arid5b","ARID5B","Arid5b"
"21173","HALLMARK_INTERFERON_GAMMA_RESPONSE","Arl4a","ARL4A","Arl4a"
"21174","HALLMARK_INTERFERON_GAMMA_RESPONSE","Auts2","AUTS2","Auts2"
"21175","HALLMARK_INTERFERON_GAMMA_RESPONSE","B2m","B2M","B2m"
"21176","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"BANK1",NA
"21177","HALLMARK_INTERFERON_GAMMA_RESPONSE","Batf2","BATF2","Batf2"
"21178","HALLMARK_INTERFERON_GAMMA_RESPONSE","Bpgm","BPGM","Bpgm"
"21179","HALLMARK_INTERFERON_GAMMA_RESPONSE","Bst2","BST2","Bst2"
"21180","HALLMARK_INTERFERON_GAMMA_RESPONSE","Btg1","BTG1","Btg1"
"21181","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"C1R",NA
"21182","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"C1S",NA
"21183","HALLMARK_INTERFERON_GAMMA_RESPONSE","Casp1","CASP1","Casp1"
"21184","HALLMARK_INTERFERON_GAMMA_RESPONSE","Casp3","CASP3","Casp3"
"21185","HALLMARK_INTERFERON_GAMMA_RESPONSE","Casp4","CASP4","Casp4"
"21186","HALLMARK_INTERFERON_GAMMA_RESPONSE","Casp7","CASP7","Casp7"
"21187","HALLMARK_INTERFERON_GAMMA_RESPONSE","Casp8","CASP8","Casp8"
"21188","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ccl2","CCL2","Ccl2"
"21189","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ccl5","CCL5","Ccl5"
"21190","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ccl7","CCL7","Ccl7"
"21191","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cd274","CD274","Cd274"
"21192","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cd38","CD38","Cd38"
"21193","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cd40","CD40","Cd40"
"21194","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"CD69",NA
"21195","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cd74","CD74","Cd74"
"21196","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"CD86",NA
"21197","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cdkn1a","CDKN1A","Cdkn1a"
"21198","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cfb","CFB","Cfb"
"21199","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cfh","CFH","Cfh"
"21200","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ciita","CIITA","Ciita"
"21201","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"CMKLR1",NA
"21202","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cmpk2","CMPK2","Cmpk2"
"21203","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cmtr1","CMTR1","Cmtr1"
"21204","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"CSF2RB",NA
"21205","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cxcl10","CXCL10","Cxcl10"
"21206","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"CXCL11",NA
"21207","HALLMARK_INTERFERON_GAMMA_RESPONSE","Cxcl9","CXCL9","Cxcl9"
"21208","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ddx58","DDX58","Ddx58"
"21209","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ddx60","DDX60","Ddx60"
"21210","HALLMARK_INTERFERON_GAMMA_RESPONSE","Dhx58","DHX58","Dhx58"
"21211","HALLMARK_INTERFERON_GAMMA_RESPONSE","Eif2ak2","EIF2AK2","Eif2ak2"
"21212","HALLMARK_INTERFERON_GAMMA_RESPONSE","Eif4e3","EIF4E3","Eif4e3"
"21213","HALLMARK_INTERFERON_GAMMA_RESPONSE","Epsti1","EPSTI1","Epsti1"
"21214","HALLMARK_INTERFERON_GAMMA_RESPONSE","Fas","FAS","Fas"
"21215","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"FCGR1A",NA
"21216","HALLMARK_INTERFERON_GAMMA_RESPONSE","Fgl2","FGL2","Fgl2"
"21217","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"FPR1",NA
"21218","HALLMARK_INTERFERON_GAMMA_RESPONSE","Gbp4","GBP4","Gbp4"
"21219","HALLMARK_INTERFERON_GAMMA_RESPONSE","Gbp6","GBP6","Gbp6"
"21220","HALLMARK_INTERFERON_GAMMA_RESPONSE","Gch1","GCH1","Gch1"
"21221","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"GPR18",NA
"21222","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"GZMA",NA
"21223","HALLMARK_INTERFERON_GAMMA_RESPONSE","Helz2","HELZ2","Helz2"
"21224","HALLMARK_INTERFERON_GAMMA_RESPONSE","Herc6","HERC6","Herc6"
"21225","HALLMARK_INTERFERON_GAMMA_RESPONSE","Hif1a","HIF1A","Hif1a"
"21226","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"HLA-A",NA
"21227","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"HLA-B",NA
"21228","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"HLA-DMA",NA
"21229","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"HLA-DQA1",NA
"21230","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"HLA-DRB1",NA
"21231","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"HLA-G",NA
"21232","HALLMARK_INTERFERON_GAMMA_RESPONSE","Icam1","ICAM1","Icam1"
"21233","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ido1","IDO1","Ido1"
"21234","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifi27","IFI27","Ifi27"
"21235","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifi30","IFI30","Ifi30"
"21236","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifi35","IFI35","Ifi35"
"21237","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifi44","IFI44","Ifi44"
"21238","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"IFI44L",NA
"21239","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifih1","IFIH1","Ifih1"
"21240","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifit1","IFIT1","Ifit1"
"21241","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifit2","IFIT2","Ifit2"
"21242","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifit3","IFIT3","Ifit3"
"21243","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifitm2","IFITM2","Ifitm2"
"21244","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifitm3","IFITM3","Ifitm3"
"21245","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ifnar2","IFNAR2","Ifnar2"
"21246","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"IL10RA",NA
"21247","HALLMARK_INTERFERON_GAMMA_RESPONSE","Il15","IL15","Il15"
"21248","HALLMARK_INTERFERON_GAMMA_RESPONSE","Il15ra","IL15RA","Il15ra"
"21249","HALLMARK_INTERFERON_GAMMA_RESPONSE","Il18bp","IL18BP","Il18bp"
"21250","HALLMARK_INTERFERON_GAMMA_RESPONSE","Il2rb","IL2RB","Il2rb"
"21251","HALLMARK_INTERFERON_GAMMA_RESPONSE","Il4ra","IL4R","Il4ra"
"21252","HALLMARK_INTERFERON_GAMMA_RESPONSE","Il6","IL6","Il6"
"21253","HALLMARK_INTERFERON_GAMMA_RESPONSE","Il7","IL7","Il7"
"21254","HALLMARK_INTERFERON_GAMMA_RESPONSE","Irf1","IRF1","Irf1"
"21255","HALLMARK_INTERFERON_GAMMA_RESPONSE","Irf2","IRF2","Irf2"
"21256","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"IRF4",NA
"21257","HALLMARK_INTERFERON_GAMMA_RESPONSE","Irf5","IRF5","Irf5"
"21258","HALLMARK_INTERFERON_GAMMA_RESPONSE","Irf7","IRF7","Irf7"
"21259","HALLMARK_INTERFERON_GAMMA_RESPONSE","Irf8","IRF8","Irf8"
"21260","HALLMARK_INTERFERON_GAMMA_RESPONSE","Irf9","IRF9","Irf9"
"21261","HALLMARK_INTERFERON_GAMMA_RESPONSE","Isg15","ISG15","Isg15"
"21262","HALLMARK_INTERFERON_GAMMA_RESPONSE","Isg20","ISG20","Isg20"
"21263","HALLMARK_INTERFERON_GAMMA_RESPONSE","Isoc1","ISOC1","Isoc1"
"21264","HALLMARK_INTERFERON_GAMMA_RESPONSE","Itgb7","ITGB7","Itgb7"
"21265","HALLMARK_INTERFERON_GAMMA_RESPONSE","Jak2","JAK2","Jak2"
"21266","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"KLRK1",NA
"21267","HALLMARK_INTERFERON_GAMMA_RESPONSE","Lap3","LAP3","Lap3"
"21268","HALLMARK_INTERFERON_GAMMA_RESPONSE","Lats2","LATS2","Lats2"
"21269","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"LCP2",NA
"21270","HALLMARK_INTERFERON_GAMMA_RESPONSE","Lgals3bp","LGALS3BP","Lgals3bp"
"21271","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ly6e","LY6E","Ly6e"
"21272","HALLMARK_INTERFERON_GAMMA_RESPONSE","Lysmd2","LYSMD2","Lysmd2"
"21273","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"MARCHF1",NA
"21274","HALLMARK_INTERFERON_GAMMA_RESPONSE","Mettl7b","METTL7B","Mettl7b"
"21275","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"MT2A",NA
"21276","HALLMARK_INTERFERON_GAMMA_RESPONSE","Mthfd2","MTHFD2","Mthfd2"
"21277","HALLMARK_INTERFERON_GAMMA_RESPONSE","Mvp","MVP","Mvp"
"21278","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"MX1",NA
"21279","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"MX2",NA
"21280","HALLMARK_INTERFERON_GAMMA_RESPONSE","Myd88","MYD88","Myd88"
"21281","HALLMARK_INTERFERON_GAMMA_RESPONSE","Nampt","NAMPT","Nampt"
"21282","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ncoa3","NCOA3","Ncoa3"
"21283","HALLMARK_INTERFERON_GAMMA_RESPONSE","Nfkb1","NFKB1","Nfkb1"
"21284","HALLMARK_INTERFERON_GAMMA_RESPONSE","Nfkbia","NFKBIA","Nfkbia"
"21285","HALLMARK_INTERFERON_GAMMA_RESPONSE","Nlrc5","NLRC5","Nlrc5"
"21286","HALLMARK_INTERFERON_GAMMA_RESPONSE","Nmi","NMI","Nmi"
"21287","HALLMARK_INTERFERON_GAMMA_RESPONSE","Nod1","NOD1","Nod1"
"21288","HALLMARK_INTERFERON_GAMMA_RESPONSE","Nup93","NUP93","Nup93"
"21289","HALLMARK_INTERFERON_GAMMA_RESPONSE","Oas2","OAS2","Oas2"
"21290","HALLMARK_INTERFERON_GAMMA_RESPONSE","Oas3","OAS3","Oas3"
"21291","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"OASL",NA
"21292","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ogfr","OGFR","Ogfr"
"21293","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"P2RY14",NA
"21294","HALLMARK_INTERFERON_GAMMA_RESPONSE","Parp12","PARP12","Parp12"
"21295","HALLMARK_INTERFERON_GAMMA_RESPONSE","Parp14","PARP14","Parp14"
"21296","HALLMARK_INTERFERON_GAMMA_RESPONSE","Pde4b","PDE4B","Pde4b"
"21297","HALLMARK_INTERFERON_GAMMA_RESPONSE","Peli1","PELI1","Peli1"
"21298","HALLMARK_INTERFERON_GAMMA_RESPONSE","Pfkp","PFKP","Pfkp"
"21299","HALLMARK_INTERFERON_GAMMA_RESPONSE","Pim1","PIM1","Pim1"
"21300","HALLMARK_INTERFERON_GAMMA_RESPONSE","Pla2g4a","PLA2G4A","Pla2g4a"
"21301","HALLMARK_INTERFERON_GAMMA_RESPONSE","Plscr1","PLSCR1","Plscr1"
"21302","HALLMARK_INTERFERON_GAMMA_RESPONSE","Pml","PML","Pml"
"21303","HALLMARK_INTERFERON_GAMMA_RESPONSE","Pnp","PNP","Pnp"
"21304","HALLMARK_INTERFERON_GAMMA_RESPONSE","Pnpt1","PNPT1","Pnpt1"
"21305","HALLMARK_INTERFERON_GAMMA_RESPONSE","Psma2","PSMA2","Psma2"
"21306","HALLMARK_INTERFERON_GAMMA_RESPONSE","Psma3","PSMA3","Psma3"
"21307","HALLMARK_INTERFERON_GAMMA_RESPONSE","Psmb10","PSMB10","Psmb10"
"21308","HALLMARK_INTERFERON_GAMMA_RESPONSE","Psmb2","PSMB2","Psmb2"
"21309","HALLMARK_INTERFERON_GAMMA_RESPONSE","Psmb8","PSMB8","Psmb8"
"21310","HALLMARK_INTERFERON_GAMMA_RESPONSE","Psmb9","PSMB9","Psmb9"
"21311","HALLMARK_INTERFERON_GAMMA_RESPONSE","Psme1","PSME1","Psme1"
"21312","HALLMARK_INTERFERON_GAMMA_RESPONSE","Psme2","PSME2","Psme2"
"21313","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ptgs2","PTGS2","Ptgs2"
"21314","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ptpn1","PTPN1","Ptpn1"
"21315","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ptpn2","PTPN2","Ptpn2"
"21316","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ptpn6","PTPN6","Ptpn6"
"21317","HALLMARK_INTERFERON_GAMMA_RESPONSE","Rapgef6","RAPGEF6","Rapgef6"
"21318","HALLMARK_INTERFERON_GAMMA_RESPONSE","Rbck1","RBCK1","Rbck1"
"21319","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ripk1","RIPK1","Ripk1"
"21320","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ripk2","RIPK2","Ripk2"
"21321","HALLMARK_INTERFERON_GAMMA_RESPONSE","Rnf213","RNF213","Rnf213"
"21322","HALLMARK_INTERFERON_GAMMA_RESPONSE","Rnf31","RNF31","Rnf31"
"21323","HALLMARK_INTERFERON_GAMMA_RESPONSE","Rsad2","RSAD2","Rsad2"
"21324","HALLMARK_INTERFERON_GAMMA_RESPONSE","Rtp4","RTP4","Rtp4"
"21325","HALLMARK_INTERFERON_GAMMA_RESPONSE","Samd9l","SAMD9L","Samd9l"
"21326","HALLMARK_INTERFERON_GAMMA_RESPONSE","Samhd1","SAMHD1","Samhd1"
"21327","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"SECTM1",NA
"21328","HALLMARK_INTERFERON_GAMMA_RESPONSE","Selp","SELP","Selp"
"21329","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"SERPING1",NA
"21330","HALLMARK_INTERFERON_GAMMA_RESPONSE","Slamf7","SLAMF7","Slamf7"
"21331","HALLMARK_INTERFERON_GAMMA_RESPONSE","Slc25a28","SLC25A28","Slc25a28"
"21332","HALLMARK_INTERFERON_GAMMA_RESPONSE","Socs1","SOCS1","Socs1"
"21333","HALLMARK_INTERFERON_GAMMA_RESPONSE","Socs3","SOCS3","Socs3"
"21334","HALLMARK_INTERFERON_GAMMA_RESPONSE","Sod2","SOD2","Sod2"
"21335","HALLMARK_INTERFERON_GAMMA_RESPONSE","Sp110","SP110","Sp110"
"21336","HALLMARK_INTERFERON_GAMMA_RESPONSE","Sppl2a","SPPL2A","Sppl2a"
"21337","HALLMARK_INTERFERON_GAMMA_RESPONSE","Sri","SRI","Sri"
"21338","HALLMARK_INTERFERON_GAMMA_RESPONSE","Sspn","SSPN","Sspn"
"21339","HALLMARK_INTERFERON_GAMMA_RESPONSE","St3gal5","ST3GAL5","St3gal5"
"21340","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"ST8SIA4",NA
"21341","HALLMARK_INTERFERON_GAMMA_RESPONSE","Stat1","STAT1","Stat1"
"21342","HALLMARK_INTERFERON_GAMMA_RESPONSE","Stat2","STAT2","Stat2"
"21343","HALLMARK_INTERFERON_GAMMA_RESPONSE","Stat3","STAT3","Stat3"
"21344","HALLMARK_INTERFERON_GAMMA_RESPONSE","Stat4","STAT4","Stat4"
"21345","HALLMARK_INTERFERON_GAMMA_RESPONSE","Tap1","TAP1","Tap1"
"21346","HALLMARK_INTERFERON_GAMMA_RESPONSE","Tapbp","TAPBP","Tapbp"
"21347","HALLMARK_INTERFERON_GAMMA_RESPONSE","Tdrd7","TDRD7","Tdrd7"
"21348","HALLMARK_INTERFERON_GAMMA_RESPONSE","Tnfaip2","TNFAIP2","Tnfaip2"
"21349","HALLMARK_INTERFERON_GAMMA_RESPONSE","Tnfaip3","TNFAIP3","Tnfaip3"
"21350","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"TNFAIP6",NA
"21351","HALLMARK_INTERFERON_GAMMA_RESPONSE","Tnfsf10","TNFSF10","Tnfsf10"
"21352","HALLMARK_INTERFERON_GAMMA_RESPONSE","Tor1b","TOR1B","Tor1b"
"21353","HALLMARK_INTERFERON_GAMMA_RESPONSE","Trafd1","TRAFD1","Trafd1"
"21354","HALLMARK_INTERFERON_GAMMA_RESPONSE","Trim14","TRIM14","Trim14"
"21355","HALLMARK_INTERFERON_GAMMA_RESPONSE","Trim21","TRIM21","Trim21"
"21356","HALLMARK_INTERFERON_GAMMA_RESPONSE","Trim25","TRIM25","Trim25"
"21357","HALLMARK_INTERFERON_GAMMA_RESPONSE","Trim26","TRIM26","Trim26"
"21358","HALLMARK_INTERFERON_GAMMA_RESPONSE","Txnip","TXNIP","Txnip"
"21359","HALLMARK_INTERFERON_GAMMA_RESPONSE","Ube2l6","UBE2L6","Ube2l6"
"21360","HALLMARK_INTERFERON_GAMMA_RESPONSE","Upp1","UPP1","Upp1"
"21361","HALLMARK_INTERFERON_GAMMA_RESPONSE","Usp18","USP18","Usp18"
"21362","HALLMARK_INTERFERON_GAMMA_RESPONSE","Vamp5","VAMP5","Vamp5"
"21363","HALLMARK_INTERFERON_GAMMA_RESPONSE","Vamp8","VAMP8","Vamp8"
"21364","HALLMARK_INTERFERON_GAMMA_RESPONSE","Vcam1","VCAM1","Vcam1"
"21365","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"WARS1",NA
"21366","HALLMARK_INTERFERON_GAMMA_RESPONSE","Xaf1","XAF1","Xaf1"
"21367","HALLMARK_INTERFERON_GAMMA_RESPONSE",NA,"XCL1",NA
"21368","HALLMARK_INTERFERON_GAMMA_RESPONSE","Zbp1","ZBP1","Zbp1"
"21369","HALLMARK_INTERFERON_GAMMA_RESPONSE","Znfx1","ZNFX1","Znfx1"
"21370","Stem_Munoz_2012",NA,"1300002K09RIK",NA
"21371","Stem_Munoz_2012",NA,"6230424C14RIK",NA
"21372","Stem_Munoz_2012","Adra2a","ADRA2A","Adra2a"
"21373","Stem_Munoz_2012","Afap1","AFAP1","Afap1"
"21374","Stem_Munoz_2012","Angpt2","ANGPT2","Angpt2"
"21375","Stem_Munoz_2012","Apcdd1","APCDD1","Apcdd1"
"21376","Stem_Munoz_2012","Arhgef4","ARHGEF4","Arhgef4"
"21377","Stem_Munoz_2012","Arl4c","ARL4C","Arl4c"
"21378","Stem_Munoz_2012","Ascl2","ASCL2","Ascl2"
"21379","Stem_Munoz_2012","Atg16l2","ATG16L2","Atg16l2"
"21380","Stem_Munoz_2012","Atm","ATM","Atm"
"21381","Stem_Munoz_2012","Axin2","AXIN2","Axin2"
"21382","Stem_Munoz_2012","B930095G15Rik","B930095G15RIK","B930095G15Rik"
"21383","Stem_Munoz_2012","Cachd1","CACHD1","Cachd1"
"21384","Stem_Munoz_2012","Car12","CAR12","Car12"
"21385","Stem_Munoz_2012","Casp12","CASP12","Casp12"
"21386","Stem_Munoz_2012","Cbx6","CBX6","Cbx6"
"21387","Stem_Munoz_2012","Cc2d2a","CC2D2A","Cc2d2a"
"21388","Stem_Munoz_2012","Cd320","CD320","Cd320"
"21389","Stem_Munoz_2012","Cdc42ep1","CDC42EP1","Cdc42ep1"
"21390","Stem_Munoz_2012","Cdo1","CDO1","Cdo1"
"21391","Stem_Munoz_2012","Ces1d","CES1D","Ces1d"
"21392","Stem_Munoz_2012","Cgnl1","CGNL1","Cgnl1"
"21393","Stem_Munoz_2012","Cited4","CITED4","Cited4"
"21394","Stem_Munoz_2012","Clca1","CLCA1","Clca1"
"21395","Stem_Munoz_2012","Clca2","CLCA2","Clca2"
"21396","Stem_Munoz_2012","Clic6","CLIC6","Clic6"
"21397","Stem_Munoz_2012","Cpn1","CPN1","Cpn1"
"21398","Stem_Munoz_2012","Cttnbp2","CTTNBP2","Cttnbp2"
"21399","Stem_Munoz_2012","Cyp2e1","CYP2E1","Cyp2e1"
"21400","Stem_Munoz_2012",NA,"D930015E06RIK",NA
"21401","Stem_Munoz_2012",NA,"DCT",NA
"21402","Stem_Munoz_2012","Ddb2","DDB2","Ddb2"
"21403","Stem_Munoz_2012","Ddo","DDO","Ddo"
"21404","Stem_Munoz_2012","Dync2h1","DYNC2H1","Dync2h1"
"21405","Stem_Munoz_2012","E230029C05Rik","E230029C05RIK","E230029C05Rik"
"21406","Stem_Munoz_2012","Ell3","ELL3","Ell3"
"21407","Stem_Munoz_2012","Emp2","EMP2","Emp2"
"21408","Stem_Munoz_2012","Epha4","EPHA4","Epha4"
"21409","Stem_Munoz_2012","Ephb3","EPHB3","Ephb3"
"21410","Stem_Munoz_2012","Esam","ESAM","Esam"
"21411","Stem_Munoz_2012",NA,"ESRRG",NA
"21412","Stem_Munoz_2012","Evl","EVL","Evl"
"21413","Stem_Munoz_2012","Farp1","FARP1","Farp1"
"21414","Stem_Munoz_2012","Fbxo21","FBXO21","Fbxo21"
"21415","Stem_Munoz_2012","Fgfr4","FGFR4","Fgfr4"
"21416","Stem_Munoz_2012","Fmnl2","FMNL2","Fmnl2"
"21417","Stem_Munoz_2012","Fstl1","FSTL1","Fstl1"
"21418","Stem_Munoz_2012","Fzd2","FZD2","Fzd2"
"21419","Stem_Munoz_2012","Gas6","GAS6","Gas6"
"21420","Stem_Munoz_2012","Gkap1","GKAP1","Gkap1"
"21421","Stem_Munoz_2012","Gkn3","GKN3","Gkn3"
"21422","Stem_Munoz_2012","Gpld1","GPLD1","Gpld1"
"21423","Stem_Munoz_2012",NA,"GPR30",NA
"21424","Stem_Munoz_2012","Gramd1a","GRAMD1A","Gramd1a"
"21425","Stem_Munoz_2012","Hunk","HUNK","Hunk"
"21426","Stem_Munoz_2012","Igfbp4","IGFBP4","Igfbp4"
"21427","Stem_Munoz_2012","Il17rd","IL17RD","Il17rd"
"21428","Stem_Munoz_2012","Immp2l","IMMP2L","Immp2l"
"21429","Stem_Munoz_2012","Irs1","IRS1","Irs1"
"21430","Stem_Munoz_2012","Kcne3","KCNE3","Kcne3"
"21431","Stem_Munoz_2012","Klhl8","KLHL8","Klhl8"
"21432","Stem_Munoz_2012",NA,"LARGE",NA
"21433","Stem_Munoz_2012","Lgr5","LGR5","Lgr5"
"21434","Stem_Munoz_2012","Lipt2","LIPT2","Lipt2"
"21435","Stem_Munoz_2012","Man2a2","MAN2A2","Man2a2"
"21436","Stem_Munoz_2012","Mex3a","MEX3A","Mex3a"
"21437","Stem_Munoz_2012",NA,"MIA1",NA
"21438","Stem_Munoz_2012","Mpp3","MPP3","Mpp3"
"21439","Stem_Munoz_2012","Msi1","MSI1","Msi1"
"21440","Stem_Munoz_2012","Myc","MYC","Myc"
"21441","Stem_Munoz_2012",NA,"MYCL1",NA
"21442","Stem_Munoz_2012","Nap1l1","NAP1L1","Nap1l1"
"21443","Stem_Munoz_2012","Napepld","NAPEPLD","Napepld"
"21444","Stem_Munoz_2012","Notch1","NOTCH1","Notch1"
"21445","Stem_Munoz_2012","Notch2","NOTCH2","Notch2"
"21446","Stem_Munoz_2012","Phldb2","PHLDB2","Phldb2"
"21447","Stem_Munoz_2012","Pla2g4a","PLA2G4A","Pla2g4a"
"21448","Stem_Munoz_2012","Plekhb1","PLEKHB1","Plekhb1"
"21449","Stem_Munoz_2012","Plxnb1","PLXNB1","Plxnb1"
"21450","Stem_Munoz_2012","Pogk","POGK","Pogk"
"21451","Stem_Munoz_2012",NA,"PPAP2B",NA
"21452","Stem_Munoz_2012",NA,"PRELP",NA
"21453","Stem_Munoz_2012","Prkd3","PRKD3","Prkd3"
"21454","Stem_Munoz_2012","Psd3","PSD3","Psd3"
"21455","Stem_Munoz_2012","Psrc1","PSRC1","Psrc1"
